Filename                                                                Regions    Missed Regions     Cover   Functions  Missed Functions  Executed       Lines      Missed Lines     Cover    Branches   Missed Branches     Cover
graph/gv_graph.rs                                                           504                34    93.25%          47                 6    87.23%         290                28    90.34%           0                 0         -
graph/traits.rs                                                             128                 0   100.00%          18                 0   100.00%          95                 0   100.00%           0                 0         -
handle.rs                                                                    65                 0   100.00%           6                 0   100.00%          34                 0   100.00%           0                 0         -
lib.rs                                                                       13                 0   100.00%           2                 0   100.00%          17                 0   100.00%           0                 0         -
spatial/contour_range.rs                                                    187                11    94.12%          15                 0   100.00%         151                 9    94.04%           0                 0         -
spatial/node.rs                                                             100                 0   100.00%          14                 0   100.00%          76                 0   100.00%           0                 0         -
spatial/pewei/core.rs                                                       509                 5    99.02%          35                 0   100.00%         526                11    97.91%           0                 0         -
spatial/pewei_types.rs                                                       20                 0   100.00%           3                 0   100.00%          13                 0   100.00%           0                 0         -
spatial/plateau.rs                                                          123                 0   100.00%          16                 0   100.00%          89                 0   100.00%           0                 0         -
spatial/plateau_basis.rs                                                    225                 4    98.22%          23                 0   100.00%         119                 2    98.32%           0                 0         -
spatial/range.rs                                                             54                 0   100.00%           9                 0   100.00%          40                 0   100.00%           0                 0         -
spatial/view.rs                                                              58                 0   100.00%          10                 0   100.00%          50                 0   100.00%           0                 0         -
traits/accumulator.rs                                                       108                 0   100.00%          21                 0   100.00%          68                 0   100.00%           0                 0         -
traits/attenuatable.rs                                                       46                 0   100.00%          10                 0   100.00%          36                 0   100.00%           0                 0         -
traits/coordinate.rs                                                        246                 0   100.00%          59                 0   100.00%         183                 0   100.00%           0                 0         -
traits/inspectable.rs                                                        61                 0   100.00%          13                 0   100.00%          43                 0   100.00%           0                 0         -
traits/observation.rs                                                        45                 0   100.00%          11                 0   100.00%          36                 0   100.00%           0                 0         -
traits/plateau_tracking.rs                                                    4                 4     0.00%           1                 1     0.00%           8                 8     0.00%           0                 0         -
traits/proratable.rs                                                         62                 0   100.00%          13                 0   100.00%          48                 0   100.00%           0                 0         -
traits/rng.rs                                                                71                 0   100.00%          10                 0   100.00%          44                 0   100.00%           0                 0         -
traits/weighable.rs                                                          25                 0   100.00%           5                 0   100.00%          17                 0   100.00%           0                 0         -
tree/gtree/gnode.rs                                                         492                 7    98.58%          61                 0   100.00%         306                 5    98.37%           0                 0         -
tree/gtree/gnode_tree.rs                                                    342                36    89.47%          25                 1    96.00%         162                17    89.51%           0                 0         -
tree/gtree/mod.rs                                                            31                 0   100.00%           4                 0   100.00%          17                 0   100.00%           0                 0         -
tree/vtree/mod.rs                                                           718                31    95.68%          39                 3    92.31%         344                15    95.64%           0                 0         -
tree/vtree/vnode.rs                                                         560                 5    99.11%          62                 0   100.00%         347                 3    99.14%           0                 0         -
tree/vtree/vnode_tree.rs                                                    414                27    93.48%          26                 2    92.31%         238                16    93.28%           0                 0         -
-----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
TOTAL                                                                     17271              1987    88.50%        1138                75    93.41%       10427              1172    88.76%           0                 0         -
